Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,112280,-,-,-,36.85,-121.42,-8,89,-8,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.0
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Wind Direction,Wind Speed,Surface Albedo
2006,1,1,0,30,0,0,0,4,7,1000,152,1.3,0.12
2006,1,1,1,30,0,0,0,4,7,1000,154,1.4000000000000001,0.12
2006,1,1,2,30,0,0,0,4,6,1000,157,1.6,0.12
2006,1,1,3,30,0,0,0,4,6,1000,159,1.7000000000000002,0.12
2006,1,1,4,30,0,0,0,4,6,1000,157,2,0.12
2006,1,1,5,30,0,0,0,4,7,1000,152,2.5,0.12
2006,1,1,6,30,0,0,0,4,7,1000,153,3.3000000000000003,0.12
2006,1,1,7,30,0,0,0,7,8,1000,153,3.9000000000000004,0.12
2006,1,1,8,30,0,6,6,7,10,1000,150,4.7,0.12
2006,1,1,9,30,0,14,14,8,11,1000,147,5.4,0.12
2006,1,1,10,30,0,19,19,8,12,1000,150,6.1000000000000005,0.12
2006,1,1,11,30,0,61,61,9,12,990,155,6.7,0.12
2006,1,1,12,30,0,57,57,9,12,990,152,6.4,0.12
2006,1,1,13,30,0,136,136,9,12,990,157,6.1000000000000005,0.12
2006,1,1,14,30,0,57,57,10,12,990,157,6.1000000000000005,0.12
2006,1,1,15,30,0,19,19,11,13,990,161,5.4,0.12
2006,1,1,16,30,0,1,1,11,13,990,161,4.2,0.12
2006,1,1,17,30,0,0,0,11,12,990,161,3.4000000000000004,0.12
2006,1,1,18,30,0,0,0,9,12,990,170,3,0.12
2006,1,1,19,30,0,0,0,9,11,990,209,3.2,0.12
2006,1,1,20,30,0,0,0,9,11,990,236,3.2,0.12
2006,1,1,21,30,0,0,0,8,10,990,224,2.5,0.12
2006,1,1,22,30,0,0,0,8,10,990,216,2,0.12
2006,1,1,23,30,0,0,0,8,10,990,207,1.5,0.12
2006,1,2,0,30,0,0,0,7,9,990,198,1.2000000000000002,0.12
2006,1,2,1,30,0,0,0,7,9,990,182,1,0.12
2006,1,2,2,30,0,0,0,7,9,990,164,1,0.12
2006,1,2,3,30,0,0,0,7,9,990,150,1.2000000000000002,0.12
2006,1,2,4,30,0,0,0,7,9,990,138,1.6,0.12
2006,1,2,5,30,0,0,0,7,9,990,133,2.3000000000000003,0.12
2006,1,2,6,30,0,0,0,8,9,990,129,3,0.12
2006,1,2,7,30,0,0,0,8,10,990,127,3.6,0.12
2006,1,2,8,30,0,3,3,9,10,990,126,4.1000000000000005,0.12
2006,1,2,9,30,0,8,8,9,11,990,125,4.6000000000000005,0.12
2006,1,2,10,30,0,17,17,10,12,990,133,5.2,0.12
2006,1,2,11,30,58,211,240,11,13,990,157,5.5,0.12
